,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.10352269122094035,0.12924866445805933,0.173823072481483,0.14267831075688012,0.14019199915061048,0.2119355405614265,0.10453905099863346,0.09709451136783122,0.16770455193290978,0.12495766667981933,0.1351931810382887,0.18683887057915757
1,"'Lex', 'LDA'",0.09823434372553941,0.13721057292007488,0.16754321499138694,0.13136440889383708,0.1423209663455941,0.20032273830365455,0.10236639063384245,0.10072082990634702,0.1657990801317721,0.11952330943200538,0.13970315408054726,0.18059913817552237
2,"'Lex', 'Lsa'",0.10144720473768395,0.13219620527429657,0.17054761296749324,0.13734283717339035,0.1402689420868571,0.20610898321764845,0.1023315228066625,0.09825701420977627,0.16559379161296656,0.12132060682708116,0.1357094487788888,0.1827843050415229
3,"'Lex', 'Lsa', 'LDA'",0.10064785157018939,0.13187531458031537,0.1696631957684882,0.1367676408235583,0.1398376440609025,0.2053146122637871,0.10266522591042032,0.09869056911229952,0.16505684984823144,0.120430181171799,0.13518710605384865,0.18123323154019635
4,"'Lex', 'Lsa', 'Tr'",0.10397146704066343,0.13229357689147642,0.18226840502046857,0.14066489344318514,0.1420082593591098,0.21435378022551788,0.10569099397771467,0.10229626895753273,0.16762633938582777,0.12407290213206087,0.13774148351960958,0.19039867410303632
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.1025880412757716,0.13143459401625598,0.1787954224642673,0.13924367129633067,0.14004305814872642,0.21238633322438286,0.10415786181902056,0.10005242087833477,0.1665318742136778,0.12391801737581681,0.1370529538028165,0.1880833817953286
6,"'Lex', 'Luhn'",0.10651154092863832,0.15760196791618244,0.18146797573826884,0.13040978481716758,0.160505477559824,0.20120035215370255,0.11166666837944292,0.11764391194324263,0.17964856547699626,0.1232328892350231,0.15827581180374564,0.18824928126450477
7,"'Lex', 'Luhn', 'LDA'",0.10285547458233549,0.1588273983955996,0.17264887447417515,0.12687382548296694,0.1608220732140416,0.19390857226034874,0.1075949983902722,0.11599572132839096,0.17403727884184306,0.1200118199496701,0.1574683519234303,0.1834016458060296
8,"'Lex', 'Luhn', 'Lsa'",0.10097071937671413,0.15039689235163395,0.16651709143222626,0.1274980575307212,0.15360970000767232,0.1923477796358807,0.10712181099372382,0.10923167449434663,0.17292881097372853,0.12163806135126827,0.15131120233254053,0.18142905518444805
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.10045962822174577,0.14731668984232327,0.16570813916825286,0.12814179347485283,0.15083931915154344,0.19291242360978858,0.10643540189222465,0.10728963930930006,0.17102645048180465,0.12051391423907434,0.1480275815124604,0.17990833127930914
