Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"Saint-Andre anger at absent stars

Sale Sharks director of rugby Philippe Saint-Andre has re-opened rugby's club-versus-country debate.

",15.64,0.036549132526669074,104,-0.036388618826343665,0.03686604898014092,0.770690733076846
"Sale host Bath in the Powergen Cup on Friday, but the Frenchman has endured a ""difficult week"" with six players away on England's Six Nations training camp.",7.36,0.03926513821291782,88,0.13700894057089694,0.039449777620328086,0.7637525999227139
"""It's an important game but we've just the one full session.",10.120000000000001,0.050170646867432625,24,-0.13403582603666767,0.03763175008567562,0.6616993690095914
It's the same for everyone but we need to manage it.,0.92,0.03666666666666667,6,-0.017208290936652833,0.024930508322357766,0.530847253829827
"""If five players or more are picked for your country they should move the date of the game,"" he told BBC Sport.",10.120000000000001,0.03927670764783203,41,0.03152746927796981,0.03921908012979026,0.7392993763543481
"Unless the authorities agree to make changes, Saint-Andre believes England's national team will suffer as clubs opt to sign foreigners and retired internationals.",11.040000000000001,0.04169529822178525,100,-0.059212159313672026,0.0393889574693861,0.7660378352661504
"""That's not good for the politics of the English team or for English rugby,"" he argues.",10.120000000000001,0.02730195717108207,39,-0.07717486544351626,0.03595592636666914,0.7272147517293915
"It is an issue he has taken up before, most notably during the autumn internationals when Sale lost all three Zurich Premiership matches they played.

",2.7600000000000002,0.023263590329052283,65,0.04443717430436794,0.03865293936306585,0.7506170647629657
"Now he fears it could derail the club's hopes of cup silverware after eight players, including captain Jason Robinson and fly-half Charlie Hodgson, were away with their countries.",9.200000000000001,0.02740140994286334,93,0.07688187394270965,0.039260436693688235,0.7672960761399632
"""We're in the quarter-finals, it's always better to play at home than away and it's a great opportunity,"" he added.",6.44,0.04132469443340207,40,0.25892132379113136,0.039339748983851654,0.7315648403505653
"""But we have to be careful.",0.92,0.03666666666666667,7,-0.03416272562411713,0.0220234590671814,0.5308472492701959
Bath have just been knocked out of Europe and will make it a tough game.,8.280000000000001,0.03647606254147501,28,-0.05890486904797202,0.03847363500023311,0.7195603676515958
"It also comes at the end of a very, very difficult week.",5.5200000000000005,0.030866137584789337,16,0.11865725531362427,0.037665345578614576,0.6618442688837693
"""Sebastien Bruno's been with France, Jason White with Scotland and there are six with England, that's eight players plus injuries - 13 players out of a squad of 31.",15.64,0.04149109381169822,74,0.1509606652521126,0.03550133928584482,0.7608002998487708
"""We'll have just one session together and will have to do our best to make that a good one on Thursday afternoon.",7.36,0.033891174482943584,32,-0.10851485414172478,0.036424160873230485,0.7085007345406775
"""

Gloucester have also been caught in a club-versus-country conflict after England sought a second medical opinion on James Simpson-Daniel's fitness.",5.5200000000000005,0.04337259966866616,94,0.05883998627388405,0.03870737668372215,0.7629489517468694
The winger is carrying a shoulder injury and the national team management believe he requires time on the sidelines.,10.120000000000001,0.02727032466804043,66,-0.043566120797477875,0.03811976495834036,0.7495395413199386
As a result he misses the Cherry and White's quarter-final at home to Bristol.,2.7600000000000002,0.030051444470699386,45,0.2506505776414687,0.037478560143803054,0.739820940295251
"""Under the Elite Player Squad agreement, England wanted a second opinion, which they can do,"" director of rugby Nigel Melville told the Gloucester Citizen.

",10.120000000000001,0.04261654638153009,90,0.0845146429165548,0.03773994408686733,0.7633071371382348
"""They obviously want him for international rugby and we want him for club rugby in what is a very important game for us.",26.68,0.06769214712039477,40,-0.1035456023314039,0.03558138457624725,0.7163036127248312
There is a conflict of interests.,1.84,0.02655721926326995,16,0.030386964372108412,0.030593323460280264,0.5322518854349969
"""The surgeon who carried out his operation said he was fine for us but England say he is still vulnerable to be damaged again and want him on a full rehab programme.""",8.280000000000001,0.02502018385859408,66,-0.036197730047995556,0.03618172895154694,0.7453413254924383
"Simpson-Daniel added: ""I've said to Nigel I want to be back playing and that means if everything goes well this week, I can target the Worcester game (on 29 January) for a return.",11.96,0.038446490794862426,72,0.11969486605077871,0.03937199223584702,0.759910537566145
"""
",0.0,0.03666666666666667,0,0.0,0.005442811083287368,0.26666666666666666
